Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Market_Price,Cost_of_Cultivation,Revenue,Profit,ROI,Crop_encoded,State_encoded,Season_encoded
Arecanut,1998,Whole Year ,Assam,74457.0,55355,2354.4,7356351.6,21592.53,0.784347826,250000.0,244365.0,196086.9565,-48278.0435,-19.75652957665787,0,2,4
Arhar/Tur,1998,Kharif     ,Assam,7657.0,5389,2354.4,756511.6,2220.53,0.709130435,6200.0,71370.0,4396.608697,-66973.391303,-93.83969637522767,1,2,1
Castor seed,1998,Kharif     ,Assam,1728.0,708,2354.4,170726.4,501.12,0.411428571,5300.0,40000.0,2180.5714263,-37819.4285737,-94.54857143425001,2,2,1
Coconut ,1998,Whole Year ,Assam,20166.0,149866000,2354.4,1992400.8,5848.14,6045.886957,11000.0,155836.0,66504756.526999995,66348920.526999995,42576.11882171,3,2,4
Cotton(lint),1998,Kharif     ,Assam,1652.0,751,2354.4,163217.6,479.08,0.399130435,52000.0,82200.0,20754.78262,-61445.21738,-74.75087272506083,4,2,1
Arecanut,1998,Whole Year ,Goa,1500.0,1820,2964.9,148200.0,435.0,1.21,250000.0,244365.0,302500.0,58135.0,23.790231825343238,0,6,4
Coconut ,1998,Whole Year ,Goa,24858.0,121000000,2964.9,2455970.4,7208.82,4867.65,11000.0,155836.0,53544149.99999999,53388313.99999999,34259.29438640622,3,6,4
Arecanut,1998,Whole Year ,Karnataka,98047.0,648365,1260.8,9687043.6,28433.63,6.232,250000.0,244365.0,1558000.0,1313635.0,537.5708468888752,0,12,4
Arhar/Tur,1998,Kharif     ,Karnataka,475396.0,221453,1260.8,46969124.8,137864.84,0.400833333,6200.0,71370.0,2485.1666646,-68884.8333354,-96.51791135687265,1,12,1
Castor seed,1998,Kharif     ,Karnataka,27246.0,23245,1260.8,2691904.8,7901.34,0.831818182,5300.0,40000.0,4408.6363646,-35591.3636354,-88.97840908849999,2,12,1
Coconut ,1998,Whole Year ,Karnataka,310399.0,1611530000,1260.8,30667421.2,90015.71,4692.261111,11000.0,155836.0,51614872.221,51459036.221,33021.27635527092,3,12,4
Cotton(lint),1998,Kharif     ,Karnataka,636495.0,976876,1260.8,62885706.0,184583.55,1.556521739,52000.0,82200.0,80939.13042799999,-1260.8695720000105,-1.5339045888077987,4,12,1
Arecanut,1998,Whole Year ,Kerala,73639.0,68479,3151.5,7275533.2,21355.31,0.797857143,250000.0,244365.0,199464.28575,-44900.71424999999,-18.374445706218154,0,13,4
Coconut ,1998,Whole Year ,Kerala,882288.0,5132000000,3151.5,87170054.4,255863.52,5304.749286,11000.0,155836.0,58352242.146000005,58196406.146000005,37344.648313611746,3,13,4
Cotton(lint),1998,Kharif     ,Kerala,10999.0,17752,3151.5,1086701.2,3189.71,1.61,52000.0,82200.0,83720.0,1520.0,1.8491484184914844,4,13,1
Arecanut,1998,Whole Year ,Meghalaya,9585.0,11567,6552.7,946998.0,2779.65,1.151666667,250000.0,244365.0,287916.66675,43551.666749999975,17.82238321772757,0,17,4
Arhar/Tur,1998,Kharif     ,Meghalaya,861.0,678,6552.7,85066.8,249.69,0.803333333,6200.0,71370.0,4980.6666646,-66389.3333354,-93.02134417178087,1,17,1
Cotton(lint),1998,Kharif     ,Meghalaya,7549.0,5599,6552.7,745841.2,2189.21,0.796666667,52000.0,82200.0,41426.666683999996,-40773.333316000004,-49.602595274939176,4,17,1
Arecanut,1998,Whole Year ,West Bengal,8239.0,13665,2152.5,814013.2,2389.31,1.595294118,250000.0,244365.0,398823.5295,154458.5295,63.20812288993923,0,28,4
Arhar/Tur,1998,Kharif     ,West Bengal,2606.0,1672,2152.5,257472.8,755.74,0.756923077,6200.0,71370.0,4692.923077400001,-66677.0769226,-93.42451579459156,1,28,1
Castor seed,1998,Rabi       ,West Bengal,54.0,38,2152.5,5335.2,15.66,0.7,5300.0,40000.0,3709.9999999999995,-36290.0,-90.725,2,28,2
Coconut ,1998,Whole Year ,West Bengal,24616.0,318174400,2152.5,2432060.8,7138.64,12448.06222,11000.0,155836.0,136928684.42,136772848.42,87767.1708847763,3,28,4
Cotton(lint),1998,Kharif     ,West Bengal,200.0,73,2152.5,19760.0,58.0,0.37,52000.0,82200.0,19240.0,-62960.0,-76.59367396593673,4,28,1
Arecanut,1999,Whole Year ,Assam,73464.0,52924,2201.8,7796734.32,19835.28,0.746086957,250000.0,244365.0,186521.73925,-57843.26074999999,-23.67084514967364,0,2,4
Arhar/Tur,1999,Kharif     ,Assam,7266.0,5102,2201.8,771140.58,1961.82,0.707826087,6200.0,71370.0,4388.5217394,-66981.4782606,-93.85102740731399,1,2,1
Castor seed,1999,Kharif     ,Assam,1726.0,704,2201.8,183180.38,466.02,0.423333333,5300.0,40000.0,2243.6666649,-37756.333335100004,-94.39083333775001,2,2,1
Coconut ,1999,Whole Year ,Assam,20238.0,150062000,2201.8,2147858.94,5464.26,5672.116522,11000.0,155836.0,62393281.742000006,62237445.742000006,39937.78442850176,3,2,4
Cotton(lint),1999,Kharif     ,Assam,1637.0,746,2201.8,173734.81,441.99,0.41173913,52000.0,82200.0,21410.43476,-60789.565239999996,-73.95324238442822,4,2,1
Arecanut,1999,Whole Year ,Goa,1550.0,1880,3879.3,164501.5,418.5,1.21,250000.0,244365.0,302500.0,58135.0,23.790231825343238,0,6,4
Coconut ,1999,Whole Year ,Goa,24975.0,121580000,3879.3,2650596.75,6743.25,4868.07,11000.0,155836.0,53548770.0,53392934.0,34262.25904155651,3,6,4
Arecanut,1999,Whole Year ,Kerala,81941.0,83337,2914.6,8696398.33,22124.07,0.831428571,250000.0,244365.0,207857.14275,-36507.85725,-14.939887974955498,0,13,4
Coconut ,1999,Whole Year ,Kerala,925035.0,5680000000,2914.6,98173964.55,249759.45,5581.025714,11000.0,155836.0,61391282.854,61235446.854,39294.80149259478,3,13,4
Cotton(lint),1999,Kharif     ,Kerala,4772.0,7702,2914.6,506452.36,1288.44,1.61,52000.0,82200.0,83720.0,1520.0,1.8491484184914844,4,13,1
Arecanut,1999,Whole Year ,Meghalaya,9645.0,12510,6200.3,1023623.85,2604.15,1.245,250000.0,244365.0,311250.0,66885.0,27.370941010373826,0,17,4
Arhar/Tur,1999,Kharif     ,Meghalaya,871.0,647,6200.3,92439.23,235.17,0.78,6200.0,71370.0,4836.0,-66534.0,-93.22404371584699,1,17,1
Castor seed,1999,Kharif     ,Meghalaya,27.0,14,6200.3,2865.51,7.29,0.515,5300.0,40000.0,2729.5,-37270.5,-93.17625000000001,2,17,1
Cotton(lint),1999,Kharif     ,Meghalaya,7455.0,5549,6200.3,791199.15,2012.85,0.8,52000.0,82200.0,41600.0,-40600.0,-49.39172749391727,4,17,1
Arecanut,1999,Whole Year ,Puducherry,65.0,130,1434.5875,6898.45,17.55,2.0,250000.0,244365.0,500000.0,255635.0,104.61195343031939,0,21,4
Coconut ,1999,Whole Year ,Puducherry,2214.0,27816000,1434.5875,234971.82,597.78,12812.4475,11000.0,155836.0,140936922.5,140781086.5,90339.25825868221,3,21,4
Cotton(lint),1999,Kharif     ,Puducherry,357.0,1835,1434.5875,37888.41,96.39,5.14,52000.0,82200.0,267280.0,185080.0,225.1581508515815,4,21,1
Arecanut,1999,Whole Year ,West Bengal,7677.0,13124,2318.1,814760.01,2072.79,1.864117647,250000.0,244365.0,466029.41175,221664.41175000003,90.7103765883003,0,28,4
Arhar/Tur,1999,Kharif     ,West Bengal,3077.0,2320,2318.1,326562.01,830.79,0.83,6200.0,71370.0,5146.0,-66224.0,-92.7896875437859,1,28,1
Castor seed,1999,Kharif     ,West Bengal,35.0,24,2318.1,3714.55,9.45,0.69,5300.0,40000.0,3656.9999999999995,-36343.0,-90.8575,2,28,1
Coconut ,1999,Whole Year ,West Bengal,24216.0,324305700,2318.1,2570044.08,6538.32,13592.12778,11000.0,155836.0,149513405.58,149357569.58,95842.78958648836,3,28,4
Cotton(lint),1999,Kharif     ,West Bengal,750.0,2040,2318.1,79597.5,202.5,2.72,52000.0,82200.0,141440.0,59240.0,72.06812652068126,4,28,1
Arecanut,2000,Whole Year ,Andhra Pradesh,262.0,724,935.6,25720.54,68.12,2.78,250000.0,244365.0,695000.0,450635.0,184.41061526814397,0,0,4
Arhar/Tur,2000,Kharif     ,Andhra Pradesh,507366.0,216457,935.6,49808120.22,131915.16,0.433181818,6200.0,71370.0,2685.7272715999998,-68684.2727284,-96.23689607454112,1,0,1
Arhar/Tur,2000,Rabi       ,Andhra Pradesh,6098.0,2701,935.6,598640.66,1585.48,0.42375,6200.0,71370.0,2627.25,-68742.75,-96.31883144178227,1,0,2
Castor seed,2000,Kharif     ,Andhra Pradesh,398561.0,136860,935.6,39126733.37,103625.86,0.339047619,5300.0,40000.0,1796.9523807,-38203.0476193,-95.50761904825,2,0,1
Coconut ,2000,Whole Year ,Andhra Pradesh,102646.0,1092707179,935.6,10076757.82,26687.96,9101.813684,11000.0,155836.0,100119950.524,99964114.524,64146.997179085716,3,0,4
Cotton(lint),2000,Kharif     ,Andhra Pradesh,1021721.0,1662683,935.6,100302350.6,265647.46,1.687727273,52000.0,82200.0,87761.818196,5561.818195999993,6.7662021849148335,4,0,1
Arecanut,2000,Whole Year ,Assam,73237.0,68261,1965.5,7189676.29,19041.62,0.957391304,250000.0,244365.0,239347.826,-5017.173999999999,-2.053147545679618,0,2,4
Arhar/Tur,2000,Kharif     ,Assam,7280.0,5159,1965.5,714677.6,1892.8,0.714347826,6200.0,71370.0,4428.9565212,-66941.0434788,-93.79437225556957,1,2,1
Castor seed,2000,Kharif     ,Assam,1662.0,681,1965.5,163158.54,432.12,0.417619048,5300.0,40000.0,2213.3809544,-37786.6190456,-94.46654761399999,2,2,1
Coconut ,2000,Whole Year ,Assam,20913.0,135910000,1965.5,2053029.21,5437.38,5771.352609,11000.0,155836.0,63484878.69899999,63329042.69899999,40638.26246759413,3,2,4
Cotton(lint),2000,Kharif     ,Assam,1673.0,760,1965.5,164238.41,434.98,0.426521739,52000.0,82200.0,22179.130428,-60020.869571999996,-73.01808950364963,4,2,1
Arecanut,2000,Whole Year ,Goa,1600.0,2500,3886.9,157072.0,416.0,1.56,250000.0,244365.0,390000.0,145635.0,59.59732367564913,0,6,4
Coconut ,2000,Whole Year ,Goa,25025.0,125120000,3886.9,2456704.25,6506.5,4999.8,11000.0,155836.0,54997800.0,54841964.0,35192.10195333556,3,6,4
Arecanut,2000,Whole Year ,Karnataka,119093.0,162741,1213.3,11691359.81,30964.18,1.2925,250000.0,244365.0,323125.0,78760.0,32.230474904343914,0,12,4
Arhar/Tur,2000,Kharif     ,Karnataka,582763.0,263533,1213.3,57209843.71,151518.38,0.492083333,6200.0,71370.0,3050.9166646,-68319.0833354,-95.72521134286114,1,12,1
Castor seed,2000,Kharif     ,Karnataka,30366.0,38871,1213.3,2981030.22,7895.16,1.31,5300.0,40000.0,6943.0,-33057.0,-82.6425,2,12,1
Coconut ,2000,Whole Year ,Karnataka,335996.0,1762403000,1213.3,32984727.32,87358.96,4673.661111,11000.0,155836.0,51410272.221,51254436.221,32889.98448432968,3,12,4
Cotton(lint),2000,Kharif     ,Karnataka,551763.0,855236,1213.3,54166573.71,143458.38,1.593333333,52000.0,82200.0,82853.33331599999,653.3333159999893,0.7948093868613008,4,12,1
Arecanut,2000,Whole Year ,Kerala,87360.0,87947,2412.6,8576131.2,22713.6,0.825714286,250000.0,244365.0,206428.5715,-37936.42850000001,-15.524493483109286,0,13,4
Coconut ,2000,Whole Year ,Kerala,925783.0,5536000000,2412.6,90884117.11,240703.58,5617.002143,11000.0,155836.0,61787023.573,61631187.573,39548.74841050848,3,13,4
Cotton(lint),2000,Kharif     ,Kerala,3847.0,6209,2412.6,377659.99,1000.22,1.61,52000.0,82200.0,83720.0,1520.0,1.8491484184914844,4,13,1
Arecanut,2000,Whole Year ,Meghalaya,11184.0,13721,6258.8,1097933.28,2907.84,1.178571429,250000.0,244365.0,294642.85725,50277.85725,20.574901172426493,0,17,4
Arhar/Tur,2000,Kharif     ,Meghalaya,863.0,641,6258.8,84720.71,224.38,0.78,6200.0,71370.0,4836.0,-66534.0,-93.22404371584699,1,17,1
Castor seed,2000,Kharif     ,Meghalaya,23.0,12,6258.8,2257.91,5.98,0.515,5300.0,40000.0,2729.5,-37270.5,-93.17625000000001,2,17,1
Cotton(lint),2000,Kharif     ,Meghalaya,7340.0,7684,6258.8,720567.8,1908.4,1.036666667,52000.0,82200.0,53906.666683999996,-28293.333316000004,-34.42011352311436,4,17,1
Arecanut,2000,Whole Year ,Puducherry,65.0,130,1434.5875,6381.05,16.9,2.0,250000.0,244365.0,500000.0,255635.0,104.61195343031939,0,21,4
Coconut ,2000,Whole Year ,Puducherry,2233.0,24698000,1434.5875,219213.61,580.58,11937.4475,11000.0,155836.0,131311922.5,131156086.5,84162.89336225262,3,21,4
Cotton(lint),2000,Kharif     ,Puducherry,452.0,2300,1434.5875,44372.84,117.52,5.11,52000.0,82200.0,265720.0,183520.0,223.26034063260343,4,21,1
Arecanut,2000,Whole Year ,West Bengal,7773.0,12191,1907.7,763075.41,2020.98,1.84,250000.0,244365.0,460000.0,215635.0,88.24299715589385,0,28,4
Arhar/Tur,2000,Kharif     ,West Bengal,8868.0,5930,1907.7,870571.56,2305.68,0.686153846,6200.0,71370.0,4254.1538451999995,-67115.8461548,-94.03929684012891,1,28,1
Castor seed,2000,Kharif     ,West Bengal,100.0,127,1907.7,9817.0,26.0,1.27,5300.0,40000.0,6731.0,-33269.0,-83.1725,2,28,1
Coconut ,2000,Whole Year ,West Bengal,24511.0,330524800,1907.7,2406244.87,6372.86,13234.92556,11000.0,155836.0,145584181.16,145428345.16,93321.40529787725,3,28,4
Cotton(lint),2000,Kharif     ,West Bengal,1188.0,2732,1907.7,116625.96,308.88,2.3,52000.0,82200.0,119599.99999999999,37399.999999999985,45.498783454987816,4,28,1
Arecanut,2001,Whole Year ,Andhra Pradesh,268.0,449,928.4,27370.84,69.68,1.71,250000.0,244365.0,427500.0,183135.0,74.94322018292308,0,0,4
Arhar/Tur,2001,Kharif     ,Andhra Pradesh,414401.0,185620,928.4,42322774.13,107744.26,0.465,6200.0,71370.0,2883.0,-68487.0,-95.96048759983186,1,0,1
Arhar/Tur,2001,Rabi       ,Andhra Pradesh,5439.0,2706,928.4,555485.07,1414.14,0.46,6200.0,71370.0,2852.0,-68518.0,-96.00392321703796,1,0,2
Castor seed,2001,Kharif     ,Andhra Pradesh,283585.0,82983,928.4,28962536.05,73732.1,0.296842105,5300.0,40000.0,1573.2631565000002,-38426.7368435,-96.06684210875001,2,0,1
Coconut ,2001,Whole Year ,Andhra Pradesh,104244.0,1124969850,928.4,10646439.72,27103.44,9057.671111,11000.0,155836.0,99634382.221,99478546.221,63835.40787815396,3,0,4
Cotton(lint),2001,Kharif     ,Andhra Pradesh,1107852.0,1876698,928.4,113144924.8,288041.52,1.820454545,52000.0,82200.0,94663.63634,12463.636339999997,15.162574622871041,4,0,1
Arecanut,2001,Whole Year ,Assam,73223.0,69663,1824.7,7478264.99,19037.98,0.985652174,250000.0,244365.0,246413.0435,2048.0434999999998,0.8381083624905367,0,2,4
Arhar/Tur,2001,Kharif     ,Assam,7236.0,5125,1824.7,739012.68,1881.36,0.709130435,6200.0,71370.0,4396.608697,-66973.391303,-93.83969637522767,1,2,1
Castor seed,2001,Kharif     ,Assam,1636.0,671,1824.7,167084.68,425.36,0.42952381,5300.0,40000.0,2276.476193,-37723.523807,-94.3088095175,2,2,1
Coconut ,2001,Whole Year ,Assam,21067.0,163597000,1824.7,2151572.71,5477.42,7700.721304,11000.0,155836.0,84707934.344,84552098.344,54257.10255910059,3,2,4
Cotton(lint),2001,Kharif     ,Assam,1882.0,860,1824.7,192208.66,489.32,0.443913043,52000.0,82200.0,23083.478236,-59116.521764000005,-71.91790968856449,4,2,1
Arecanut,2001,Whole Year ,Goa,1600.0,2500,2530.6,163408.0,416.0,1.56,250000.0,244365.0,390000.0,145635.0,59.59732367564913,0,6,4
Coconut ,2001,Whole Year ,Goa,25025.0,125120000,2530.6,2555803.25,6506.5,4999.8,11000.0,155836.0,54997800.0,54841964.0,35192.10195333556,3,6,4
Arecanut,2001,Whole Year ,Karnataka,136065.0,182800,1002.9,13896318.45,35376.9,1.292,250000.0,244365.0,323000.0,78635.0,32.17932191598633,0,12,4
Arhar/Tur,2001,Kharif     ,Karnataka,482100.0,147437,1002.9,49236873.0,125346.0,0.37625,6200.0,71370.0,2332.75,-69037.25,-96.7314698052403,1,12,1
Castor seed,2001,Kharif     ,Karnataka,21799.0,16137,1002.9,2226331.87,5667.74,0.704,5300.0,40000.0,3731.2,-36268.8,-90.67200000000001,2,12,1
Coconut ,2001,Whole Year ,Karnataka,369828.0,1503638000,1002.9,37770533.64,96155.28,4164.951481,11000.0,155836.0,45814466.291,45658630.291,29299.15442580662,3,12,4
Cotton(lint),2001,Kharif     ,Karnataka,608479.0,612415,1002.9,62143960.27,158204.54,1.221428571,52000.0,82200.0,63514.285692,-18685.714308000002,-22.732012540145988,4,12,1
Arecanut,2001,Whole Year ,Kerala,93193.0,84679,2946.7,9517801.09,24230.18,0.772857143,250000.0,244365.0,193214.28574999998,-51150.71425000002,-20.93209512409716,0,13,4
Coconut ,2001,Whole Year ,Kerala,905718.0,5479000000,2946.7,92500979.34,235486.68,5636.355,11000.0,155836.0,61999904.99999999,61844068.99999999,39685.35447521753,3,13,4
Cotton(lint),2001,Kharif     ,Kerala,3760.0,6069,2946.7,384008.8,977.6,1.61,52000.0,82200.0,83720.0,1520.0,1.8491484184914844,4,13,1
Arecanut,2001,Whole Year ,Meghalaya,11128.0,14101,4241.0,1136502.64,2893.28,1.185714286,250000.0,244365.0,296428.5715,52063.57150000002,21.305658134348217,0,17,4
Arhar/Tur,2001,Kharif     ,Meghalaya,818.0,631,4241.0,83542.34,212.68,0.793333333,6200.0,71370.0,4918.666664599999,-66451.3333354,-93.10821540619308,1,17,1
Castor seed,2001,Kharif     ,Meghalaya,25.0,13,4241.0,2553.25,6.5,0.5,5300.0,40000.0,2650.0,-37350.0,-93.375,2,17,1
Cotton(lint),2001,Kharif     ,Meghalaya,7323.0,7873,4241.0,747897.99,1903.98,1.05,52000.0,82200.0,54600.0,-27600.0,-33.57664233576642,4,17,1
Arecanut,2001,Whole Year ,Puducherry,65.0,137,1434.5875,6638.45,16.9,2.11,250000.0,244365.0,527500.0,283135.0,115.86561086898696,0,21,4
Coconut ,2001,Whole Year ,Puducherry,2282.0,22204000,1434.5875,233060.66,593.32,9725.08,11000.0,155836.0,106975880.0,106820044.0,68546.44883082215,3,21,4
Cotton(lint),2001,Kharif     ,Puducherry,575.0,2965,1434.5875,58724.75,149.5,5.23,52000.0,82200.0,271960.0,189760.0,230.85158150851584,4,21,1
Arecanut,2001,Whole Year ,West Bengal,9276.0,14885,1556.6,947357.88,2411.76,1.861764706,250000.0,244365.0,465441.1765,221076.1765,90.46965666114214,0,28,4
Arhar/Tur,2001,Kharif     ,West Bengal,3938.0,3268,1556.6,402187.94,1023.88,0.816923077,6200.0,71370.0,5064.9230774,-66305.0769226,-92.90328838811826,1,28,1
Castor seed,2001,Kharif     ,West Bengal,80.0,73,1556.6,8170.4,20.8,0.91,5300.0,40000.0,4823.0,-35177.0,-87.9425,2,28,1
Coconut ,2001,Whole Year ,West Bengal,38404.0,331603800,1556.6,3922200.52,9985.04,12368.60944,11000.0,155836.0,136054703.84,135898867.84,87206.33732898689,3,28,4
Cotton(lint),2001,Kharif     ,West Bengal,1795.0,4481,1556.6,183323.35,466.7,1.993333333,52000.0,82200.0,103653.333316,21453.333316000004,26.09894563990268,4,28,1
Arecanut,2002,Whole Year ,Andhra Pradesh,296.0,427,648.1,28022.32,74.0,1.4525,250000.0,244365.0,363125.0,118760.0,48.599431178769464,0,0,4
Arhar/Tur,2002,Kharif     ,Andhra Pradesh,423436.0,147361,648.1,40086686.12,105859.0,0.337727273,6200.0,71370.0,2093.9090926,-69276.0909074,-97.06612148998177,1,0,1
Arhar/Tur,2002,Rabi       ,Andhra Pradesh,8200.0,3004,648.1,776294.0,2050.0,0.299333333,6200.0,71370.0,1855.8666646,-69514.1333354,-97.39965438615664,1,0,2
Castor seed,2002,Kharif     ,Andhra Pradesh,231902.0,86818,648.1,21954162.34,57975.5,0.296315789,5300.0,40000.0,1570.4736817,-38429.5263183,-96.07381579575,2,0,1
Coconut ,2002,Whole Year ,Andhra Pradesh,105291.0,1158625735,648.1,9967898.97,26322.75,9202.625556,11000.0,155836.0,101228881.11600001,101073045.11600001,64858.59821607331,3,0,4
Cotton(lint),2002,Kharif     ,Andhra Pradesh,803274.0,1085739,648.1,76045949.58,200818.5,1.455238095,52000.0,82200.0,75672.38093999999,-6527.619060000012,-7.941142408759139,4,0,1
Arecanut,2002,Whole Year ,Assam,73664.0,51631,1973.6,6973770.88,18416.0,0.711304348,250000.0,244365.0,177826.087,-66538.913,-27.229313936120146,0,2,4
Arhar/Tur,2002,Kharif     ,Assam,7013.0,4961,1973.6,663920.71,1753.25,0.710869565,6200.0,71370.0,4407.391303,-66962.608697,-93.82458833823736,1,2,1
Castor seed,2002,Kharif     ,Assam,1577.0,651,1973.6,149294.59,394.25,0.428571429,5300.0,40000.0,2271.4285737,-37728.5714263,-94.32142856575,2,2,1
Coconut ,2002,Whole Year ,Assam,20919.0,160277000,1973.6,1980401.73,5229.75,6959.633043,11000.0,155836.0,76555963.473,76400127.473,49025.980821504665,3,2,4
Cotton(lint),2002,Kharif     ,Assam,1556.0,716,1973.6,147306.52,389.0,0.422608696,52000.0,82200.0,21975.652192,-60224.347808,-73.26562993673966,4,2,1
Arecanut,2002,Whole Year ,Goa,1600.0,2500,2516.3,151472.0,400.0,1.56,250000.0,244365.0,390000.0,145635.0,59.59732367564913,0,6,4
Coconut ,2002,Whole Year ,Goa,25068.0,122020000,2516.3,2373187.56,6267.0,4867.56,11000.0,155836.0,53543160.00000001,53387324.00000001,34258.659103159735,3,6,4
Arecanut,2002,Whole Year ,Kerala,97485.0,107279,2511.2,9228904.95,24371.25,0.910714286,250000.0,244365.0,227678.57150000002,-16686.42849999998,-6.8284854623207005,0,13,4
Coconut ,2002,Whole Year ,Kerala,899198.0,5709000000,2511.2,85127074.66,224799.5,5969.78,11000.0,155836.0,65667580.0,65511744.0,42038.902435894146,3,13,4
Cotton(lint),2002,Kharif     ,Kerala,3400.0,5488,2511.2,321878.0,850.0,1.61,52000.0,82200.0,83720.0,1520.0,1.8491484184914844,4,13,1
Arecanut,2002,Whole Year ,Tamil Nadu,4956.0,0,315.9,469184.52,1239.0,0.0,250000.0,244365.0,0.0,-244365.0,-100.0,0,23,4
Arhar/Tur,2002,Kharif     ,Tamil Nadu,44127.0,24067,315.9,4177503.09,11031.75,0.535416667,6200.0,71370.0,3319.5833354,-68050.4166646,-95.34876932128344,1,23,1
Castor seed,2002,Kharif     ,Tamil Nadu,17749.0,5600,315.9,1680297.83,4437.25,0.376666667,5300.0,40000.0,1996.3333351,-38003.666664899996,-95.00916666224998,2,23,1
Coconut ,2002,Whole Year ,Tamil Nadu,345825.0,2860700000,315.9,32739252.75,86456.25,8497.531111,11000.0,155836.0,93472842.221,93317006.221,59881.5461260556,3,23,4
Cotton(lint),2002,Kharif     ,Tamil Nadu,75572.0,83542,315.9,7154401.24,18893.0,1.429230769,52000.0,82200.0,74319.999988,-7880.000012000004,-9.586374710462293,4,23,1
Arecanut,2002,Whole Year ,West Bengal,9081.0,16568,1629.1,859698.27,2270.25,2.998235294,250000.0,244365.0,749558.8235,505193.82350000006,206.737390174534,0,28,4
Arhar/Tur,2002,Kharif     ,West Bengal,3075.0,2806,1629.1,291110.25,768.75,0.924166667,6200.0,71370.0,5729.833335400001,-65640.1666646,-91.97165008350848,1,28,1
Castor seed,2002,Kharif     ,West Bengal,45.0,42,1629.1,4260.15,11.25,0.93,5300.0,40000.0,4929.0,-35071.0,-87.6775,2,28,1
