Opportunity ID,Investment Type,Sector / Industry,Location,Funding Stage,Expected ROI (%),Risk Level,Minimum Investment (USD),Time Horizon (Years),IRR / CAGR,ESG Score,Last Updated
OPP00572,Startup,AgriTech,Manipur,Seed,41.62,Medium,8833.53,8,5.36,6.7,2024-08-23
OPP00601,Real Estate,AgriTech,Mizoram,,44.06,Medium,32244.42,5,18.76,1.1,2024-12-25
OPP00623,Real Estate,AgriTech,Uttar Pradesh,,44.65,High,10208.99,1,25.97,10.0,2025-04-07
OPP00627,Real Estate,AgriTech,Odisha,,34.13,Low,43774.6,8,18.75,2.1,2024-09-08
OPP00629,Startup,AgriTech,Maharashtra,Series B,22.68,Low,16670.26,4,22.26,9.1,2024-12-31
OPP00641,Startup,AgriTech,Andhra Pradesh,Series A,21.48,Medium,33662.8,10,24.13,2.4,2025-04-24
OPP00646,Real Estate,AgriTech,Uttar Pradesh,,41.08,High,47560.34,9,19.4,9.9,2025-01-08
OPP00685,Real Estate,AgriTech,Uttarakhand,,17.12,High,33262.53,6,21.45,2.9,2024-09-27
OPP00693,Startup,AgriTech,Arunachal Pradesh,Seed,14.76,Medium,42739.91,3,16.51,3.0,2024-11-23
OPP00698,Startup,AgriTech,Nagaland,Series A,9.86,Low,38861.83,5,26.75,5.3,2025-06-24
OPP00727,Real Estate,AgriTech,Rajasthan,,26.95,Low,23241.92,6,20.33,2.6,2025-02-08
OPP00735,Startup,AgriTech,Tamil Nadu,Series B,36.97,High,9787.27,8,9.01,7.4,2024-10-22
OPP00740,Startup,AgriTech,Sikkim,IPO,12.94,Medium,12283.46,8,19.64,1.1,2024-08-23
OPP00758,Real Estate,AgriTech,Odisha,,21.01,Medium,19816.79,9,19.82,4.7,2024-07-18
OPP00807,Real Estate,AgriTech,Goa,,38.32,Medium,23241.83,4,16.98,2.8,2024-12-31
OPP00808,Startup,AgriTech,Arunachal Pradesh,IPO,17.35,High,10093.0,1,8.69,4.9,2025-06-24
OPP00816,Real Estate,AgriTech,Chhattisgarh,,32.74,High,15979.34,3,26.53,3.2,2025-05-17
OPP00818,Startup,AgriTech,Meghalaya,Series B,33.45,High,27510.15,4,21.53,7.8,2024-10-27
OPP00827,Real Estate,AgriTech,Uttar Pradesh,,25.35,High,48209.85,10,18.4,1.8,2025-01-27
OPP00873,Startup,AgriTech,Himachal Pradesh,Series C,28.64,High,48320.51,9,16.99,2.7,2025-02-18
OPP00898,Startup,AgriTech,Manipur,Series C,7.01,Low,18989.71,3,11.96,3.3,2025-04-04
OPP00903,Real Estate,AgriTech,Manipur,,22.1,High,35102.99,2,18.83,3.4,2024-09-28
OPP00912,Real Estate,AgriTech,Maharashtra,,10.98,Medium,19997.5,10,28.06,7.9,2025-05-29
OPP00916,Real Estate,AgriTech,Tripura,,20.24,Low,35136.43,8,17.25,7.9,2025-01-06
OPP00967,Real Estate,AgriTech,Tripura,,9.67,High,4604.6,4,13.84,2.1,2025-03-31
OPP00970,Startup,AgriTech,Chhattisgarh,Series A,25.68,High,17940.3,7,22.03,7.4,2024-12-23
OPP00973,Startup,AgriTech,Tripura,Series C,34.46,Low,8201.47,8,25.83,8.6,2025-01-28
OPP00979,Real Estate,AgriTech,Madhya Pradesh,,28.83,Medium,47903.93,1,8.02,6.2,2024-08-04
OPP00988,Startup,AgriTech,Gujarat,Public,25.86,Low,44412.77,8,18.38,4.3,2025-02-06
OPP00999,Startup,AgriTech,Jharkhand,Series C,29.22,Medium,43634.94,9,20.24,6.8,2024-12-28
OPP01005,Startup,AgriTech,Punjab,Series B,35.19,Medium,38258.97,6,14.83,9.1,2025-05-28
OPP01017,Startup,AgriTech,Uttarakhand,Series A,23.99,Medium,30573.59,4,7.51,2.1,2024-09-27
OPP01022,Real Estate,AgriTech,Mizoram,,39.83,High,48408.16,4,19.01,6.0,2025-02-19
OPP01023,Real Estate,AgriTech,Assam,,19.07,Medium,6839.57,1,8.25,7.2,2025-05-25
OPP01105,Startup,AgriTech,Meghalaya,Series C,11.31,Medium,9847.6,1,10.6,1.7,2024-10-16
OPP01165,Startup,AgriTech,Andhra Pradesh,Series B,19.65,Medium,47929.97,1,17.15,8.4,2025-06-20
OPP01169,Real Estate,AgriTech,Himachal Pradesh,,41.68,High,21389.48,1,19.28,7.0,2024-08-13
OPP01190,Real Estate,AgriTech,Tamil Nadu,,27.17,Medium,13759.4,4,12.85,4.6,2025-03-18
OPP01196,Real Estate,AgriTech,Assam,,36.87,High,41028.3,5,11.67,7.0,2024-09-13
OPP01227,Startup,AgriTech,Assam,Public,31.61,Low,8450.85,6,15.47,9.3,2025-06-02
OPP01247,Real Estate,AgriTech,Arunachal Pradesh,,37.42,Low,32142.9,1,28.48,8.0,2024-07-12
OPP01250,Startup,AgriTech,Maharashtra,Series A,12.7,Medium,40858.12,10,27.17,7.7,2024-10-26
OPP01296,Startup,AgriTech,Bihar,Series B,35.86,High,44286.63,10,6.05,2.0,2024-09-07
OPP01324,Real Estate,AgriTech,Kerala,,21.35,High,17324.04,8,15.95,5.6,2024-07-14
OPP01352,Real Estate,AgriTech,Bihar,,22.76,Medium,40159.36,6,18.33,3.8,2024-09-18
OPP01353,Real Estate,AgriTech,Tamil Nadu,,19.55,Medium,11038.33,8,10.67,2.5,2025-06-02
OPP01361,Startup,AgriTech,Tamil Nadu,Series A,27.97,High,11780.54,1,27.73,3.0,2025-06-10
OPP01362,Startup,AgriTech,Karnataka,Series B,40.44,Low,5530.57,1,8.8,8.1,2024-07-09
OPP01381,Startup,AgriTech,Nagaland,Series B,44.09,Medium,49375.79,4,7.87,6.5,2024-07-29
OPP01385,Startup,AgriTech,Maharashtra,Public,5.62,Medium,25596.72,6,25.59,2.5,2024-08-11
OPP01393,Real Estate,AgriTech,Punjab,,43.41,Low,19849.07,3,6.58,4.0,2024-10-19
OPP01407,Startup,AgriTech,Arunachal Pradesh,Seed,13.52,Low,10139.91,2,15.88,3.3,2024-11-23
OPP01421,Real Estate,AgriTech,Maharashtra,,32.08,Low,46663.79,6,8.52,8.4,2024-08-20
OPP01424,Startup,AgriTech,Punjab,Seed,38.94,Medium,1648.81,5,27.88,4.8,2025-02-14
OPP01427,Real Estate,AgriTech,Meghalaya,,9.28,Low,31479.56,1,13.5,2.4,2025-02-06
OPP01448,Real Estate,AgriTech,Madhya Pradesh,,38.03,Low,9132.94,8,11.25,2.4,2025-04-03
OPP01478,Startup,AgriTech,Madhya Pradesh,IPO,43.75,Medium,30217.18,10,15.09,3.6,2025-01-10
OPP01492,Startup,AgriTech,Nagaland,Series A,20.73,Low,1082.01,3,26.1,2.3,2024-08-14
OPP01500,Real Estate,AgriTech,Meghalaya,,37.85,High,6538.14,1,15.07,2.1,2024-09-19
OPP01504,Startup,AgriTech,Andhra Pradesh,IPO,26.73,High,10768.76,9,8.62,4.3,2024-12-25
OPP01522,Real Estate,AgriTech,Arunachal Pradesh,,24.47,Medium,18761.07,4,18.22,7.2,2025-04-04
OPP01580,Real Estate,AgriTech,Bihar,,6.58,High,35482.14,8,7.01,7.7,2025-02-15
OPP01592,Real Estate,AgriTech,Uttar Pradesh,,43.16,High,21949.35,7,16.3,1.4,2024-12-16
OPP01603,Real Estate,AgriTech,Punjab,,36.73,Medium,1062.62,10,12.1,1.5,2024-08-26
OPP01625,Real Estate,AgriTech,Goa,,40.84,High,49326.67,9,23.64,4.1,2025-03-23
OPP01628,Startup,AgriTech,West Bengal,Seed,40.66,Low,13312.92,1,17.63,5.2,2025-03-15
OPP01637,Startup,AgriTech,Haryana,Series C,9.37,High,23401.68,5,9.06,8.4,2025-01-30
OPP01641,Startup,AgriTech,Arunachal Pradesh,Public,28.05,Medium,29762.64,3,8.45,7.9,2024-09-26
OPP01642,Real Estate,AgriTech,Tamil Nadu,,25.15,Low,36809.41,1,20.72,9.2,2025-01-10
OPP01645,Real Estate,AgriTech,Uttarakhand,,10.6,Low,24546.81,6,18.03,5.1,2024-07-24
OPP01652,Startup,AgriTech,Odisha,IPO,34.07,Medium,8026.59,9,21.39,4.5,2024-08-24
OPP01664,Real Estate,AgriTech,Gujarat,,10.72,High,8905.28,7,11.24,7.8,2024-08-03
OPP01686,Startup,AgriTech,Gujarat,Public,27.0,Medium,33120.33,4,10.04,7.3,2024-09-05
OPP01712,Startup,AgriTech,Uttar Pradesh,IPO,38.01,Medium,26924.15,2,23.45,8.3,2024-08-27
OPP01717,Startup,AgriTech,Karnataka,Series B,12.91,Medium,45450.34,3,28.11,1.2,2025-05-02
OPP01718,Real Estate,AgriTech,Haryana,,24.67,High,32360.42,2,21.94,6.8,2025-05-29
OPP01734,Real Estate,AgriTech,Uttar Pradesh,,20.34,High,11869.07,8,15.94,5.0,2025-05-20
OPP01736,Real Estate,AgriTech,Manipur,,22.54,High,24583.46,7,13.46,5.5,2025-05-28
OPP01755,Real Estate,AgriTech,Arunachal Pradesh,,21.27,Low,9473.03,6,22.2,4.5,2024-12-11
OPP01758,Startup,AgriTech,Sikkim,Series C,14.01,Low,36696.3,4,13.36,1.8,2025-04-07
OPP01760,Startup,AgriTech,Chhattisgarh,Seed,32.03,Medium,25321.89,2,25.44,5.4,2025-01-20
OPP01775,Startup,AgriTech,Punjab,Series A,19.12,High,3479.25,5,10.39,1.0,2025-06-22
OPP01809,Real Estate,AgriTech,Punjab,,24.17,Low,24639.23,2,14.05,4.7,2025-04-28
OPP01871,Startup,AgriTech,Karnataka,Series A,19.59,Low,49860.89,10,16.62,3.0,2024-08-21
OPP01911,Real Estate,AgriTech,Karnataka,,18.72,High,19601.94,9,26.78,6.9,2025-02-22
OPP01917,Real Estate,AgriTech,Punjab,,36.23,Low,43247.0,10,9.88,9.4,2025-04-22
OPP01918,Startup,AgriTech,Bihar,Seed,19.99,Medium,16234.45,6,5.08,1.8,2024-10-18
OPP01929,Real Estate,AgriTech,Arunachal Pradesh,,42.4,Low,4634.66,5,7.97,2.1,2024-10-06
OPP01946,Startup,AgriTech,Sikkim,IPO,10.78,Medium,44803.73,3,22.46,9.1,2025-03-14
OPP01953,Real Estate,AgriTech,West Bengal,,42.5,Medium,3074.73,7,19.05,2.7,2025-02-02
OPP01977,Real Estate,AgriTech,Himachal Pradesh,,41.66,Low,40213.93,2,24.23,4.9,2025-05-13
OPP02048,Startup,AgriTech,Punjab,Series B,36.53,Low,12030.84,10,16.47,8.9,2025-05-13
OPP02075,Real Estate,AgriTech,Sikkim,,43.69,Low,38375.25,9,24.47,2.4,2025-02-28
OPP02084,Real Estate,AgriTech,Himachal Pradesh,,41.6,Low,4930.47,1,14.97,8.4,2024-12-08
OPP02088,Startup,AgriTech,Chhattisgarh,Public,17.67,High,31447.54,7,22.2,1.5,2024-07-25
OPP02097,Startup,AgriTech,Meghalaya,Public,32.41,High,32240.4,9,28.91,8.8,2025-05-04
OPP02104,Real Estate,AgriTech,Madhya Pradesh,,11.04,Low,16141.51,3,20.06,1.7,2025-03-05
OPP02121,Startup,AgriTech,Uttarakhand,Series A,44.89,High,20177.7,10,11.98,6.3,2024-09-29
OPP02127,Real Estate,AgriTech,Maharashtra,,29.13,High,21729.55,5,28.27,2.1,2025-06-13
OPP02143,Startup,AgriTech,Tripura,Series A,14.35,Low,29730.01,8,14.68,5.4,2024-12-06
OPP02145,Real Estate,AgriTech,Gujarat,,30.87,Low,25693.46,8,17.08,5.8,2025-03-10
OPP02156,Startup,AgriTech,Odisha,Series B,43.18,High,11433.05,6,27.24,7.6,2024-07-17
OPP02158,Startup,AgriTech,Kerala,Series C,23.18,High,25091.01,1,28.37,9.1,2025-01-15
OPP02172,Real Estate,AgriTech,Assam,,34.42,High,43417.21,3,10.04,8.3,2025-05-22
OPP02180,Startup,AgriTech,Himachal Pradesh,Series C,21.57,Medium,36786.4,2,26.92,3.3,2024-12-31
OPP02190,Real Estate,AgriTech,Madhya Pradesh,,35.23,Medium,11701.69,6,5.92,9.4,2024-07-11
OPP02259,Startup,AgriTech,Goa,Series B,44.11,Medium,24422.19,7,28.74,4.3,2025-05-16
OPP02273,Real Estate,AgriTech,Arunachal Pradesh,,28.5,Low,1923.69,1,9.25,6.8,2025-01-29
OPP02300,Real Estate,AgriTech,Uttarakhand,,7.99,Low,14305.81,7,24.79,7.0,2024-12-10
OPP02357,Real Estate,AgriTech,Gujarat,,41.02,Low,12446.28,1,18.68,7.0,2024-09-17
OPP02414,Real Estate,AgriTech,Jharkhand,,13.05,Low,45142.58,7,9.1,5.4,2025-06-02
OPP02417,Real Estate,AgriTech,Himachal Pradesh,,23.19,Medium,2409.25,1,5.09,4.7,2025-02-08
OPP02435,Startup,AgriTech,Punjab,Seed,38.07,Low,41718.45,7,19.67,1.8,2025-01-10
OPP02449,Startup,AgriTech,Sikkim,Series A,30.31,Medium,24172.82,1,12.46,9.4,2024-10-13
OPP02458,Startup,AgriTech,West Bengal,Series A,42.95,Medium,7501.48,10,8.71,2.5,2024-09-14
OPP02461,Real Estate,AgriTech,Jharkhand,,37.35,Medium,4932.86,9,5.62,10.0,2025-01-04
OPP02468,Startup,AgriTech,Mizoram,Series C,38.29,Medium,24513.37,7,21.41,2.7,2025-06-19
OPP02469,Real Estate,AgriTech,Assam,,41.07,Low,17691.38,6,27.59,4.0,2025-01-14
OPP02471,Real Estate,AgriTech,Kerala,,39.64,Low,19828.08,6,10.09,2.1,2024-07-22
OPP02481,Real Estate,AgriTech,Tripura,,26.58,High,10957.27,8,21.14,6.7,2024-12-14
OPP02484,Startup,AgriTech,Manipur,IPO,16.1,Medium,7895.52,4,11.06,3.9,2024-10-07
OPP02507,Startup,AgriTech,Tripura,IPO,24.42,Low,15385.5,7,8.15,8.7,2024-07-17
OPP02511,Startup,AgriTech,Jharkhand,Public,22.17,High,37226.09,4,23.23,9.0,2024-09-18
OPP02522,Real Estate,AgriTech,Telangana,,35.92,Low,34034.36,8,28.47,3.3,2024-12-15
OPP02526,Real Estate,AgriTech,Kerala,,34.74,Medium,7593.01,10,29.0,4.8,2024-07-27
OPP02553,Real Estate,AgriTech,Madhya Pradesh,,42.13,Low,41024.94,3,20.67,6.5,2025-06-18
OPP02564,Real Estate,AgriTech,Telangana,,5.6,Medium,5913.51,5,20.04,8.5,2025-03-05
OPP02571,Real Estate,AgriTech,Madhya Pradesh,,29.69,Low,35042.77,7,5.07,3.9,2024-10-26
OPP02573,Real Estate,AgriTech,Sikkim,,18.0,Medium,34420.58,8,19.38,9.2,2024-08-25
OPP02577,Startup,AgriTech,West Bengal,Series C,17.6,High,27679.07,1,24.18,3.2,2024-10-24
OPP02582,Startup,AgriTech,Arunachal Pradesh,Public,15.48,Medium,39789.31,10,8.26,1.8,2024-11-30
OPP02594,Startup,AgriTech,Tripura,Series A,29.62,Medium,25056.56,2,25.28,2.3,2024-10-14
OPP02596,Real Estate,AgriTech,Bihar,,15.64,High,3780.29,7,24.66,5.3,2025-01-19
OPP02654,Startup,AgriTech,Jharkhand,Series C,31.07,Medium,7249.52,3,8.64,2.4,2024-07-06
OPP02656,Startup,AgriTech,Telangana,Seed,41.01,High,25519.12,8,10.41,4.7,2024-08-15
OPP02663,Startup,AgriTech,Manipur,Series C,33.27,High,4382.47,5,22.09,5.1,2025-03-06
OPP02697,Real Estate,AgriTech,Manipur,,5.21,Low,46595.73,4,12.56,6.1,2025-06-20
OPP02699,Startup,AgriTech,Kerala,Public,28.98,High,2320.69,8,13.51,4.6,2025-03-22
OPP02700,Startup,AgriTech,Maharashtra,Series B,5.1,High,39229.46,7,21.77,3.4,2024-12-06
OPP02725,Startup,AgriTech,Uttarakhand,Public,11.69,Medium,36321.79,4,10.69,3.5,2024-08-28
OPP02738,Startup,AgriTech,Goa,Series C,31.71,High,10587.35,4,23.15,6.6,2025-03-03
OPP02785,Real Estate,AgriTech,Uttar Pradesh,,23.14,Low,46443.31,8,28.89,1.5,2024-12-29
OPP02789,Startup,AgriTech,Karnataka,Series C,37.85,Medium,22081.64,3,21.6,8.8,2025-02-15
OPP02807,Real Estate,AgriTech,Himachal Pradesh,,9.95,Medium,6148.37,1,6.04,8.7,2024-10-01
OPP02810,Startup,AgriTech,Bihar,Seed,5.91,Medium,16467.12,2,24.25,6.2,2025-03-10
OPP02822,Startup,AgriTech,Goa,IPO,24.33,Low,44428.18,7,18.44,9.5,2024-08-21
OPP02854,Real Estate,AgriTech,Andhra Pradesh,,10.77,Low,40850.84,9,6.28,8.1,2025-06-10
OPP02864,Real Estate,AgriTech,Manipur,,42.42,Medium,43129.19,6,26.74,3.2,2025-05-14
OPP02868,Real Estate,AgriTech,Goa,,12.78,High,40387.42,9,16.22,5.4,2025-04-11
OPP02874,Startup,AgriTech,Gujarat,Seed,5.48,High,32631.53,8,11.63,3.6,2024-12-23
OPP02897,Real Estate,AgriTech,Andhra Pradesh,,30.26,High,7619.74,1,15.64,7.2,2025-03-03
OPP02908,Real Estate,AgriTech,Andhra Pradesh,,42.9,Medium,1641.88,3,29.0,4.8,2025-04-24
OPP02925,Startup,AgriTech,Mizoram,Series B,17.95,Medium,45233.68,6,7.2,8.4,2025-04-02
OPP02966,Startup,AgriTech,Uttar Pradesh,IPO,28.47,Medium,18738.15,1,29.69,3.8,2024-09-04
OPP02976,Startup,AgriTech,Chhattisgarh,Public,18.95,Medium,3660.4,4,24.73,8.7,2025-04-21
OPP03007,Startup,AgriTech,Maharashtra,Series C,40.37,Medium,1590.59,4,24.1,2.7,2025-02-21
OPP03016,Startup,AgriTech,Nagaland,Public,36.5,High,5315.52,6,6.46,1.1,2024-07-25
OPP03034,Real Estate,AgriTech,Rajasthan,,24.97,Medium,34277.98,8,15.95,1.2,2025-02-03
OPP03046,Real Estate,AgriTech,Arunachal Pradesh,,18.29,High,46745.93,9,7.56,5.8,2024-12-30
OPP03052,Real Estate,AgriTech,Nagaland,,10.95,High,1870.04,8,10.0,7.3,2024-08-03
OPP03059,Real Estate,AgriTech,Jharkhand,,10.0,Medium,19190.0,10,25.48,5.7,2025-06-26
OPP03069,Real Estate,AgriTech,Kerala,,37.32,Medium,1535.92,6,21.63,3.5,2024-12-11
OPP03077,Real Estate,AgriTech,Andhra Pradesh,,7.73,High,14538.82,6,18.46,2.6,2024-12-09
OPP03078,Real Estate,AgriTech,Manipur,,15.83,High,3821.26,5,8.88,1.7,2025-04-12
OPP03095,Startup,AgriTech,Punjab,Public,37.41,High,6397.61,7,16.62,2.6,2024-11-04
OPP03130,Real Estate,AgriTech,Jharkhand,,15.79,High,39384.94,4,14.46,1.3,2024-12-04
OPP03136,Real Estate,AgriTech,Chhattisgarh,,12.96,Low,46367.76,10,26.24,7.9,2025-06-20
OPP03144,Real Estate,AgriTech,Telangana,,25.24,High,22665.41,7,13.81,9.3,2025-02-21
OPP03158,Real Estate,AgriTech,Uttar Pradesh,,42.75,Medium,24016.24,5,24.42,3.1,2025-03-29
OPP03163,Real Estate,AgriTech,Goa,,14.49,High,11313.98,2,25.88,2.8,2025-05-17
OPP03181,Real Estate,AgriTech,Chhattisgarh,,43.39,Medium,14102.66,3,21.9,7.4,2024-07-20
OPP03191,Startup,AgriTech,Karnataka,IPO,28.06,High,38312.02,6,7.62,4.4,2025-03-16
OPP03210,Startup,AgriTech,Arunachal Pradesh,Series C,18.88,Medium,9964.66,10,22.31,2.2,2025-04-15
OPP03215,Real Estate,AgriTech,Goa,,37.07,Low,33362.13,9,12.4,6.7,2024-08-18
OPP03218,Startup,AgriTech,Tamil Nadu,Series A,29.73,High,41502.92,3,11.26,4.4,2025-04-26
OPP03222,Startup,AgriTech,Meghalaya,IPO,26.81,Medium,8176.81,2,22.31,9.3,2024-12-07
OPP03232,Real Estate,AgriTech,Himachal Pradesh,,7.69,High,41484.08,5,21.32,4.7,2025-03-06
OPP03240,Startup,AgriTech,Madhya Pradesh,Public,39.43,High,2014.7,6,22.17,8.9,2025-04-17
OPP03243,Startup,AgriTech,Rajasthan,Series A,21.42,Low,29067.13,9,22.41,2.9,2025-04-16
OPP03246,Real Estate,AgriTech,Arunachal Pradesh,,18.41,Medium,31876.65,3,21.58,3.6,2025-01-11
OPP03249,Startup,AgriTech,Himachal Pradesh,Public,41.72,High,31775.27,9,18.13,2.1,2025-01-19
OPP03261,Startup,AgriTech,Tripura,Seed,23.98,High,10399.78,2,6.81,4.0,2025-01-10
OPP03267,Real Estate,AgriTech,Jharkhand,,19.98,Medium,25579.24,9,7.7,4.8,2024-08-28
OPP03293,Startup,AgriTech,Tamil Nadu,Seed,36.65,Low,19496.66,2,26.09,2.1,2024-12-29
OPP03308,Real Estate,AgriTech,Uttar Pradesh,,35.84,Medium,8163.54,4,20.38,9.1,2025-04-07
OPP03318,Startup,AgriTech,Goa,Series C,5.68,Low,18314.39,7,8.01,3.2,2025-02-24
OPP03363,Real Estate,AgriTech,Jharkhand,,33.69,Medium,47898.47,6,17.0,3.4,2025-03-11
OPP03367,Startup,AgriTech,Mizoram,Series B,11.27,Low,47495.05,9,27.44,5.9,2025-06-11
OPP03371,Real Estate,AgriTech,Arunachal Pradesh,,32.58,Low,46714.83,4,19.01,5.3,2024-10-16
OPP03402,Startup,AgriTech,Sikkim,Series B,34.51,Medium,15056.65,1,25.07,1.6,2025-01-22
OPP03427,Startup,AgriTech,Sikkim,Series A,6.27,Medium,40401.54,4,23.79,7.9,2025-05-08
OPP03468,Real Estate,AgriTech,Goa,,21.34,High,21699.26,9,10.86,2.4,2024-08-15
OPP03485,Real Estate,AgriTech,Tamil Nadu,,7.94,Medium,13346.28,7,15.04,8.9,2025-01-23
OPP03487,Real Estate,AgriTech,Punjab,,7.7,Medium,36688.64,2,7.55,8.8,2025-04-27
OPP03509,Startup,AgriTech,Punjab,Seed,7.35,Low,7501.86,6,21.8,7.4,2024-09-22
OPP03516,Real Estate,AgriTech,Jharkhand,,36.47,High,21254.43,8,15.34,8.9,2024-11-01
OPP03526,Real Estate,AgriTech,Chhattisgarh,,10.29,Medium,9120.34,4,21.16,4.2,2025-05-15
OPP03539,Real Estate,AgriTech,Mizoram,,7.92,Low,45658.99,8,22.01,3.7,2025-05-02
OPP03547,Real Estate,AgriTech,Meghalaya,,17.33,High,47436.62,9,21.49,3.5,2025-02-22
OPP03549,Real Estate,AgriTech,Uttarakhand,,11.67,Low,20079.56,5,6.77,5.3,2024-08-10
OPP03552,Startup,AgriTech,Manipur,Series C,38.23,Low,5140.73,4,29.56,8.3,2025-03-18
OPP03572,Real Estate,AgriTech,Andhra Pradesh,,26.6,High,13525.63,7,18.59,6.6,2024-10-12
OPP03584,Real Estate,AgriTech,West Bengal,,20.17,Low,22157.41,3,24.11,5.9,2024-09-26
OPP03589,Real Estate,AgriTech,Tamil Nadu,,5.37,High,35589.03,3,6.48,8.0,2024-07-16
OPP03598,Startup,AgriTech,Telangana,IPO,20.95,Medium,25162.84,3,27.99,5.8,2025-03-11
OPP03604,Startup,AgriTech,Jharkhand,IPO,6.83,High,5901.35,1,25.63,3.5,2024-07-17
OPP03623,Real Estate,AgriTech,Jharkhand,,41.86,High,3363.2,10,13.79,10.0,2024-12-13
OPP03635,Real Estate,AgriTech,Telangana,,26.65,Medium,32097.06,9,24.17,8.4,2025-04-22
OPP03645,Real Estate,AgriTech,Punjab,,26.0,High,10702.56,10,29.97,1.9,2024-08-04
OPP03652,Startup,AgriTech,Uttarakhand,Public,31.69,Medium,41228.08,2,22.17,3.5,2024-09-05
OPP03673,Real Estate,AgriTech,West Bengal,,43.05,Medium,15599.21,4,28.17,3.6,2024-09-03
OPP03686,Real Estate,AgriTech,Meghalaya,,29.7,High,24408.38,9,20.84,10.0,2025-01-25
OPP03704,Real Estate,AgriTech,Uttar Pradesh,,9.86,Medium,27669.51,4,22.45,7.5,2024-12-18
OPP03716,Startup,AgriTech,Kerala,IPO,33.18,High,1345.92,2,12.7,5.1,2025-03-03
OPP03725,Real Estate,AgriTech,Haryana,,21.37,High,14953.39,3,29.19,9.2,2024-12-04
OPP03734,Startup,AgriTech,Rajasthan,Public,8.4,High,45346.16,1,29.43,6.3,2024-10-14
OPP03795,Startup,AgriTech,Madhya Pradesh,IPO,32.34,Low,7418.22,6,13.12,1.5,2024-12-14
OPP03814,Startup,AgriTech,Gujarat,Public,10.98,Medium,47396.18,6,15.89,7.1,2025-03-12
OPP03835,Real Estate,AgriTech,Sikkim,,6.17,Medium,19701.25,6,27.75,5.7,2025-01-14
OPP03876,Startup,AgriTech,Goa,Series B,32.85,High,20053.81,7,26.19,7.0,2024-12-24
