image_id,crop_type,disease_label,severity,day_of_year,avg_temp_C,rel_humidity_pct,rain_mm,ndvi,soil_moist_pct,light_lux
00058,rice,rust,3,180,22.4,63.31,38.91,0.65,59.9,78693
00059,tomato,healthy,0,355,16.51,79.0,39.62,0.52,9.64,85105
00060,tomato,mildew,4,5,10.06,95.56,45.78,0.31,49.39,86326
00061,corn,healthy,0,146,19.89,72.68,20.98,0.57,30.94,27488
00062,apple,rust,4,3,15.41,30.86,48.11,0.54,7.04,51833
00063,apple,healthy,0,303,24.18,86.87,38.7,0.74,26.34,67908
00064,apple,healthy,0,216,34.31,58.72,48.31,0.32,44.08,119028
00065,rice,mildew,3,302,11.29,88.57,15.32,0.54,34.07,106931
00066,rice,healthy,0,142,23.52,97.55,14.19,0.9,45.1,72298
00067,corn,rust,2,231,14.82,71.03,25.94,0.4,16.44,31151
00068,corn,rust,1,241,27.41,91.29,37.7,0.47,58.62,109647
00069,corn,rust,3,1,20.06,71.68,25.61,0.7,57.15,100502
00070,apple,rust,1,228,11.77,95.44,18.19,0.51,55.84,80344
00071,corn,healthy,0,83,23.52,46.67,45.86,0.59,52.86,43906
00072,corn,healthy,0,225,15.65,35.19,39.19,0.48,42.35,118992
00073,rice,mosaic,2,281,22.91,76.7,37.09,0.44,6.35,70805
00074,rice,healthy,0,306,18.95,96.95,25.53,0.21,29.15,27738
00075,rice,mosaic,3,118,10.93,82.0,30.51,0.65,24.65,69769
00076,apple,mosaic,2,13,10.76,31.76,15.18,0.45,24.31,20830
00077,corn,healthy,0,39,29.62,92.34,43.89,0.88,45.86,57994
00078,rice,healthy,0,4,34.39,76.5,14.16,0.74,7.81,114156
00079,tomato,healthy,0,267,28.62,67.31,0.98,0.65,41.79,36344
00080,corn,healthy,0,196,21.71,90.37,24.29,0.87,46.59,29983
00081,apple,healthy,0,254,18.98,61.98,10.58,0.39,23.58,92569
00082,rice,blight,2,195,21.18,38.23,38.42,0.36,34.65,85957
00083,rice,healthy,0,262,30.22,93.14,35.54,0.52,25.34,106309
00084,rice,mildew,1,243,27.5,80.06,13.86,0.68,36.58,96134
00085,rice,mosaic,4,89,25.91,55.89,23.15,0.45,14.99,99864
00086,tomato,healthy,0,294,13.44,40.91,21.38,0.46,58.24,46660
00087,corn,healthy,0,125,33.47,62.1,14.35,0.86,13.39,91538
00088,corn,healthy,0,151,22.16,85.8,37.35,0.39,21.23,11687
00089,corn,blight,3,277,23.99,31.53,17.38,0.23,46.31,73155
00090,tomato,healthy,0,2,24.24,98.47,5.92,0.75,36.06,46544
00091,rice,blight,4,343,25.95,59.89,8.91,0.8,45.35,86831
00092,rice,rust,2,340,24.0,96.05,39.1,0.82,20.21,117188
00093,apple,rust,2,186,34.51,83.95,1.42,0.85,5.69,105275
00094,rice,healthy,0,152,30.33,84.85,49.52,0.69,39.89,60638
00095,tomato,blight,1,183,11.49,36.76,2.06,0.64,21.36,94032
00096,corn,blight,1,293,21.34,43.9,1.95,0.47,9.92,61796
00097,tomato,mosaic,2,283,21.73,80.46,24.42,0.85,58.46,45742
00098,tomato,healthy,0,251,25.34,84.21,21.92,0.41,40.23,70565
00099,tomato,mosaic,4,110,25.16,66.67,31.47,0.35,12.57,16735
00100,apple,healthy,0,137,30.88,52.93,35.37,0.43,41.92,49283
00101,tomato,healthy,0,172,33.09,49.7,6.82,0.9,57.23,44723
00102,apple,healthy,0,33,10.93,80.22,23.31,0.39,12.9,118382
00103,tomato,healthy,0,116,34.2,87.04,7.71,0.48,13.93,82810
00104,corn,blight,1,167,22.62,96.47,31.73,0.71,28.53,14931
00105,apple,blight,2,278,17.34,43.53,3.32,0.58,13.0,26099
00106,apple,healthy,0,273,32.1,54.24,17.18,0.39,42.16,69759
00107,tomato,healthy,0,152,33.54,79.6,8.13,0.38,11.52,41757
00108,rice,mosaic,3,338,23.21,71.2,49.96,0.53,53.7,53272
00109,rice,blight,1,82,34.4,77.17,44.13,0.44,5.47,26228
00110,corn,mildew,3,245,15.02,55.9,32.01,0.35,59.66,104791
00111,rice,rust,1,4,13.47,40.36,7.61,0.6,5.12,27624
00112,rice,healthy,0,219,23.25,85.08,3.68,0.36,44.11,23156
00113,corn,mildew,2,236,13.56,69.02,18.76,0.3,41.0,115324
00114,corn,mosaic,4,112,21.94,42.72,45.98,0.61,59.97,57547
00115,corn,rust,3,203,11.01,49.0,26.97,0.23,37.33,107080
00116,corn,mosaic,2,134,32.36,67.32,9.85,0.45,39.96,47377
00117,tomato,blight,1,199,15.76,49.31,43.34,0.37,41.4,61772
00118,apple,mosaic,3,364,34.08,43.18,0.19,0.73,46.64,53484
00119,tomato,blight,1,119,26.56,71.38,26.65,0.55,16.06,76330
00120,tomato,rust,2,6,18.96,32.93,38.77,0.83,47.64,62397
00121,corn,blight,1,289,20.02,47.98,9.23,0.77,58.13,41550
00122,apple,mosaic,1,19,17.08,88.55,30.19,0.45,31.06,85749
00123,rice,blight,2,120,13.07,73.34,41.9,0.26,54.62,64916
00124,rice,mosaic,1,305,33.63,58.74,3.39,0.53,55.23,118778
00125,tomato,healthy,0,7,14.67,68.55,13.43,0.71,44.95,69491
00126,rice,mildew,3,167,31.09,87.97,0.49,0.75,30.81,78394
00127,rice,rust,1,184,11.02,88.31,25.6,0.31,54.32,52368
00128,corn,mosaic,4,147,25.19,82.33,26.9,0.59,40.01,101820
00129,tomato,rust,4,10,25.47,84.22,19.42,0.58,25.64,49774
00130,tomato,blight,4,146,11.03,88.27,7.49,0.46,10.67,75555
00131,apple,healthy,0,347,22.76,78.81,3.62,0.64,8.64,71990
00132,tomato,mosaic,3,309,19.72,65.54,36.36,0.73,42.8,33089
00133,tomato,blight,3,89,34.78,58.79,16.28,0.52,40.3,45586
00134,tomato,blight,3,216,15.91,98.91,10.96,0.59,51.29,104431
00135,rice,healthy,0,210,26.71,91.42,48.56,0.62,21.71,54204
00136,corn,healthy,0,169,20.4,67.62,8.19,0.47,15.8,49170
00137,tomato,healthy,0,64,11.4,95.81,43.67,0.53,17.5,72066
00138,apple,healthy,0,326,24.28,70.42,36.54,0.5,12.48,85327
00139,corn,blight,1,167,11.51,76.51,43.24,0.22,34.0,26028
00140,corn,blight,1,365,34.68,91.61,27.37,0.62,10.59,89650
00141,tomato,blight,1,32,27.72,99.82,17.63,0.28,42.11,38444
00142,rice,mildew,1,308,13.04,79.56,34.15,0.64,53.82,76530
00143,tomato,mosaic,3,360,10.42,99.55,45.79,0.55,43.75,71912
00144,corn,rust,3,60,30.8,90.64,48.0,0.25,28.54,10204
00145,rice,healthy,0,49,12.52,54.33,45.54,0.38,29.32,90024
00146,apple,rust,3,22,13.0,81.94,6.27,0.8,50.91,117593
00147,apple,mildew,2,120,20.76,38.0,19.75,0.44,49.99,88178
00148,rice,rust,4,164,31.47,76.18,16.28,0.83,27.01,17167
00149,tomato,healthy,0,328,13.4,76.06,16.71,0.47,37.19,89673
00150,rice,mosaic,2,42,32.23,62.36,15.57,0.45,10.76,71184
00151,rice,healthy,0,70,14.43,42.5,33.6,0.7,53.27,17622
00152,corn,mildew,2,138,33.42,89.92,48.82,0.63,38.13,19855
00153,tomato,rust,1,223,13.4,51.83,0.14,0.61,20.45,34354
00154,rice,rust,1,221,15.22,92.05,23.1,0.39,27.18,99192
00155,apple,healthy,0,155,30.72,73.77,18.11,0.3,20.71,115353
00156,corn,mosaic,2,259,14.37,31.32,11.85,0.72,19.23,91019
00157,rice,mosaic,3,65,14.38,59.81,43.16,0.58,30.93,97063
00158,apple,blight,4,101,10.54,81.12,26.14,0.24,34.13,37828
00159,rice,healthy,0,312,11.2,69.75,9.11,0.24,16.02,28761
00160,tomato,mildew,4,208,13.32,49.87,46.81,0.58,27.85,54198
00161,apple,blight,2,290,22.9,81.23,18.48,0.64,36.41,90056
00162,rice,healthy,0,82,13.78,52.96,37.44,0.22,23.17,30788
00163,rice,rust,1,207,31.42,37.89,3.18,0.47,28.24,107906
00164,corn,blight,3,317,11.49,67.25,29.86,0.89,49.62,87501
00165,apple,rust,4,339,22.81,42.94,34.85,0.22,19.61,57091
00166,corn,healthy,0,43,26.1,76.43,10.89,0.31,32.39,70380
00167,tomato,blight,4,125,32.07,36.18,10.06,0.73,49.57,69546
00168,rice,rust,4,258,15.6,85.21,14.59,0.83,56.0,109802
00169,tomato,rust,3,239,30.43,62.63,21.37,0.79,25.51,34707
00170,rice,healthy,0,217,10.08,74.83,37.55,0.77,58.09,112615
00171,tomato,healthy,0,345,17.56,42.29,38.79,0.61,30.71,11808
00172,apple,healthy,0,185,21.78,93.99,39.42,0.67,6.33,104338
00173,rice,blight,4,18,21.51,82.08,3.03,0.62,31.91,27867
00174,corn,blight,4,225,33.94,66.18,11.01,0.86,41.34,59021
00175,tomato,mosaic,1,14,34.81,43.36,49.44,0.47,5.41,114063
00176,rice,healthy,0,151,14.03,76.19,38.33,0.73,19.68,44197
00177,rice,healthy,0,274,30.75,55.25,44.45,0.73,36.4,109141
00178,tomato,healthy,0,114,20.38,70.86,1.37,0.47,45.65,20637
00179,corn,rust,3,237,22.24,98.31,39.35,0.78,25.24,110031
00180,rice,mosaic,4,176,27.65,32.07,35.43,0.57,13.75,74126
00181,corn,healthy,0,75,20.53,36.29,19.83,0.45,42.63,103657
00182,corn,healthy,0,194,24.21,73.05,20.58,0.25,54.51,44839
00183,apple,healthy,0,56,31.87,77.5,13.49,0.28,34.61,49919
00184,rice,blight,3,184,18.09,84.68,8.56,0.74,47.28,47856
00185,tomato,healthy,0,29,27.62,59.7,46.94,0.27,46.47,118095
00186,apple,healthy,0,360,21.93,98.85,28.42,0.21,17.96,14012
00187,apple,healthy,0,172,18.26,52.96,23.98,0.35,55.32,94213
00188,apple,mosaic,1,282,25.61,65.5,32.31,0.68,30.23,48915
00189,apple,mosaic,1,274,26.47,45.34,44.81,0.66,50.22,22084
00190,tomato,healthy,0,279,29.32,91.71,13.39,0.35,5.09,101642
00191,tomato,blight,1,291,17.16,50.44,10.75,0.6,42.52,96451
00192,tomato,healthy,0,42,31.84,73.13,22.75,0.87,20.77,89659
00193,corn,healthy,0,74,30.78,39.05,18.74,0.63,25.55,73105
00194,corn,blight,1,65,23.12,52.34,46.66,0.6,28.2,76685
00195,rice,healthy,0,152,13.33,55.03,22.07,0.48,16.83,56023
00196,rice,healthy,0,330,13.37,82.17,37.42,0.74,39.89,66255
00197,corn,mosaic,1,13,11.38,60.13,26.88,0.56,16.15,26776
00198,corn,mildew,3,268,13.26,71.8,1.42,0.5,50.5,72953
00199,tomato,healthy,0,275,16.18,40.81,38.29,0.58,8.76,42187
00200,apple,mildew,4,129,11.49,86.52,32.79,0.65,56.26,40725
00201,tomato,healthy,0,203,23.56,81.84,36.0,0.45,52.87,12820
00202,tomato,mildew,2,340,12.33,65.75,29.65,0.34,45.05,59640
00203,corn,blight,3,341,32.39,98.84,32.73,0.57,55.93,83745
00204,corn,healthy,0,199,26.54,51.92,11.81,0.45,55.86,108298
00205,tomato,mosaic,1,149,20.36,33.1,31.85,0.76,48.1,18225
00206,rice,mosaic,1,233,10.52,95.9,23.77,0.25,34.1,14308
00207,corn,blight,4,221,10.84,39.99,15.61,0.22,37.81,95278
00208,rice,blight,3,217,29.59,68.76,8.28,0.75,5.82,108559
00209,rice,healthy,0,37,19.24,47.97,1.13,0.71,37.44,63113
00210,apple,healthy,0,115,26.99,89.84,47.75,0.36,39.76,20017
00211,corn,healthy,0,143,14.75,51.25,46.06,0.83,9.66,70299
00212,tomato,mosaic,3,45,17.53,56.24,3.18,0.4,49.64,23015
00213,corn,rust,4,228,20.57,92.1,47.35,0.57,55.29,68836
00214,apple,healthy,0,69,18.76,40.51,11.39,0.66,45.48,41405
00215,apple,healthy,0,50,24.58,89.38,45.08,0.32,53.16,110021
00216,apple,mosaic,1,200,33.34,47.92,46.04,0.22,8.38,56069
00217,corn,healthy,0,312,34.4,55.24,29.61,0.26,59.85,48733
00218,corn,healthy,0,62,10.44,70.06,29.0,0.83,17.63,73514
00219,corn,healthy,0,39,12.33,31.6,24.94,0.38,15.81,98010
00220,rice,blight,1,235,30.94,85.5,45.79,0.83,44.94,51823
00221,apple,mosaic,2,287,11.63,57.19,32.88,0.51,37.96,30846
00222,rice,healthy,0,153,16.6,61.11,8.61,0.61,22.36,79265
00223,tomato,mildew,3,154,25.06,65.08,5.81,0.39,33.51,99609
00224,tomato,rust,4,70,29.44,99.71,2.11,0.28,28.59,87676
00225,tomato,rust,4,222,31.7,39.31,16.18,0.37,39.43,45197
00226,apple,mildew,3,297,20.41,71.62,4.12,0.33,58.84,92217
00227,rice,blight,1,104,25.93,87.11,1.91,0.83,43.27,91077
00228,apple,healthy,0,184,28.11,89.41,46.25,0.89,47.73,70012
00229,apple,mildew,4,84,27.86,63.41,14.45,0.49,54.41,107604
00230,corn,blight,1,62,26.79,71.55,2.36,0.87,57.12,36867
00231,apple,healthy,0,38,20.39,86.25,32.92,0.43,13.95,107167
00232,corn,healthy,0,294,16.62,84.04,1.03,0.42,49.64,11781
00233,rice,rust,3,62,29.03,58.12,49.14,0.78,13.46,86689
00234,corn,healthy,0,283,11.19,33.16,1.28,0.66,8.11,55543
00235,corn,mosaic,4,106,30.07,81.76,24.56,0.58,56.14,69877
00236,corn,mosaic,4,50,30.42,60.85,41.25,0.22,38.29,93567
00237,rice,blight,2,160,17.23,33.85,17.46,0.68,43.15,56006
00238,corn,rust,2,343,25.82,35.15,3.82,0.73,26.77,105499
00239,corn,mildew,4,256,23.38,98.66,16.61,0.49,53.63,44028
00240,rice,healthy,0,29,16.84,61.83,34.55,0.87,16.61,72843
00241,corn,healthy,0,240,18.36,63.07,44.18,0.51,48.61,101773
00242,corn,rust,2,323,31.82,46.55,33.48,0.38,41.51,67369
00243,tomato,healthy,0,24,21.98,96.87,17.81,0.77,15.41,45238
00244,corn,mosaic,1,167,15.42,86.96,1.06,0.84,18.06,74498
00245,tomato,rust,4,348,15.56,78.86,28.52,0.24,38.58,74670
00246,apple,rust,1,309,30.69,41.46,0.74,0.66,26.79,44439
00247,rice,healthy,0,178,18.08,82.82,30.7,0.76,10.65,79949
00248,tomato,healthy,0,116,30.15,41.17,41.69,0.56,25.19,52216
00249,corn,rust,1,8,20.42,34.56,33.48,0.63,42.78,117480
00250,corn,mosaic,3,6,33.47,88.19,47.31,0.57,27.4,29042
00251,corn,rust,3,166,25.48,61.17,37.09,0.43,59.85,91430
00252,tomato,mosaic,4,153,16.43,70.04,49.34,0.47,12.15,91485
00253,corn,mosaic,1,278,30.12,65.17,19.3,0.28,52.07,68451
00254,corn,mosaic,3,319,15.39,65.06,40.41,0.54,51.94,56957
00255,apple,blight,4,286,22.11,55.26,44.13,0.46,35.43,105887
00256,tomato,healthy,0,327,20.87,74.78,42.92,0.64,59.51,72388
00257,apple,blight,2,198,17.27,58.63,30.05,0.29,11.69,92903
00258,tomato,blight,2,45,31.91,60.49,38.36,0.43,6.37,54831
00259,rice,healthy,0,119,22.19,92.56,47.46,0.73,12.47,104186
00260,rice,blight,3,310,34.64,47.17,19.63,0.74,30.92,46405
00261,tomato,mildew,3,44,33.15,72.85,0.16,0.7,58.83,68410
00262,tomato,blight,1,83,12.33,85.56,43.29,0.86,22.59,47329
00263,tomato,blight,4,282,20.64,48.33,15.01,0.58,43.18,88898
00264,rice,blight,3,279,24.51,58.06,12.01,0.5,25.38,65938
00265,corn,mosaic,3,196,25.77,44.06,40.57,0.49,42.3,119142
00266,rice,healthy,0,3,16.87,94.95,41.04,0.68,47.89,15581
00267,corn,rust,4,240,14.48,77.98,33.57,0.58,16.14,93892
00268,corn,healthy,0,139,30.17,65.12,3.55,0.88,20.67,95706
00269,tomato,mildew,3,62,25.07,52.28,16.37,0.8,56.13,66030
00270,tomato,rust,3,332,31.61,82.61,34.54,0.52,7.63,26756
00271,tomato,healthy,0,167,13.47,72.24,40.79,0.57,21.14,54028
00272,tomato,mosaic,3,94,14.78,66.86,8.05,0.5,23.09,115432
00273,apple,mildew,3,237,31.79,72.77,26.58,0.56,18.53,112404
00274,tomato,blight,2,341,15.56,45.34,40.51,0.45,48.34,81082
00275,corn,healthy,0,351,10.36,36.5,13.96,0.52,43.81,54647
00276,rice,mosaic,1,44,19.53,92.49,34.23,0.85,28.11,18615
00277,tomato,blight,3,341,11.63,67.02,37.01,0.76,35.9,53135
00278,apple,mosaic,3,122,18.41,46.77,3.28,0.48,18.11,61014
00279,rice,healthy,0,84,25.8,65.68,33.41,0.76,31.25,101545
00280,corn,healthy,0,38,11.25,46.06,38.77,0.4,34.18,112135
00281,apple,blight,4,209,12.44,80.1,27.61,0.3,14.45,45134
00282,apple,healthy,0,293,26.31,65.56,18.16,0.69,15.81,92029
00283,tomato,mosaic,3,277,32.91,64.21,48.79,0.87,21.1,53110
00284,rice,healthy,0,124,26.05,86.55,16.41,0.38,42.47,53714
00285,corn,healthy,0,141,30.35,89.79,33.6,0.3,18.23,75316
00286,apple,healthy,0,140,28.84,88.02,24.58,0.58,54.95,84680
00287,corn,mildew,1,360,19.29,95.29,6.04,0.63,17.33,119446
00288,apple,healthy,0,287,34.39,84.68,49.41,0.86,53.45,36094
00289,corn,rust,4,329,12.74,74.08,2.0,0.9,32.19,24817
00290,corn,rust,3,343,12.23,63.31,0.13,0.28,27.47,77933
00291,apple,mosaic,3,33,28.61,49.24,18.11,0.89,30.18,114383
00292,apple,healthy,0,251,19.59,40.15,46.65,0.5,59.52,16389
00293,corn,healthy,0,269,27.43,41.36,6.18,0.38,19.09,26634
00294,apple,healthy,0,231,11.44,88.7,17.19,0.46,30.89,96824
00295,tomato,rust,1,182,28.8,47.85,37.37,0.57,37.39,63568
00296,apple,mosaic,4,257,28.12,89.06,18.88,0.24,39.97,12789
00297,corn,mosaic,1,234,13.68,74.71,4.65,0.23,34.12,103849
00298,rice,blight,2,100,22.39,43.59,31.0,0.58,11.03,96994
00299,tomato,healthy,0,52,12.91,90.91,30.37,0.73,37.95,12170
00300,rice,blight,4,161,13.43,72.49,46.62,0.45,49.42,17085
00301,rice,healthy,0,14,20.46,57.48,22.03,0.71,31.98,30866
00302,tomato,mosaic,1,338,23.05,69.12,45.22,0.52,54.5,104879
00303,apple,mosaic,2,23,12.58,58.53,47.48,0.76,36.65,37592
00304,tomato,rust,2,329,33.3,71.24,21.07,0.22,25.56,29418
00305,corn,blight,4,116,26.99,54.82,27.81,0.42,22.43,16107
00306,apple,healthy,0,295,26.27,87.51,0.49,0.89,58.01,98653
00307,apple,mildew,2,181,28.57,37.92,28.73,0.2,9.0,60367
00308,tomato,healthy,0,48,18.33,35.38,36.2,0.54,7.95,49180
00309,apple,healthy,0,212,32.01,48.59,46.98,0.55,17.44,82509
00310,apple,healthy,0,74,16.75,100.0,42.02,0.26,48.15,97160
00311,corn,healthy,0,262,11.13,50.32,38.3,0.81,22.02,68272
00312,tomato,healthy,0,251,13.41,68.0,12.47,0.86,33.04,71879
00313,tomato,rust,4,223,19.28,85.92,1.54,0.48,58.71,69618
00314,apple,healthy,0,103,34.99,65.56,35.46,0.35,21.16,71611
00315,tomato,mosaic,2,43,19.87,74.51,2.34,0.42,9.35,75215
00316,apple,healthy,0,213,34.16,70.51,19.53,0.28,38.52,50887
00317,corn,mosaic,3,289,15.54,64.78,30.39,0.39,9.14,97408
00318,rice,rust,3,80,30.47,55.61,29.9,0.57,45.89,23320
00319,rice,mildew,3,114,15.52,62.9,4.29,0.31,39.2,52957
00320,rice,healthy,0,116,14.46,44.86,33.13,0.77,50.82,81762
00321,corn,mosaic,2,174,16.34,80.97,39.19,0.72,34.76,51646
00322,tomato,healthy,0,120,19.9,93.15,19.36,0.27,21.64,111443
00323,corn,mildew,3,55,16.09,67.38,49.14,0.51,24.48,98011
00324,rice,healthy,0,49,33.61,56.18,48.25,0.62,27.3,59969
00325,apple,mildew,1,104,11.51,53.36,43.57,0.8,29.71,73595
00326,apple,mosaic,1,254,27.66,63.92,6.81,0.4,16.86,86425
00327,apple,rust,2,150,22.99,88.4,2.77,0.81,21.63,37912
00328,apple,rust,2,179,29.0,49.05,23.99,0.66,19.34,103435
00329,apple,healthy,0,44,16.87,87.81,39.39,0.86,48.48,94564
00330,rice,mildew,1,241,21.94,75.75,20.55,0.57,28.18,27355
00331,corn,mildew,3,272,15.18,83.68,40.46,0.76,5.23,119408
00332,apple,healthy,0,340,10.5,92.76,19.39,0.51,35.15,92849
00333,tomato,healthy,0,44,11.69,56.71,47.5,0.59,29.15,96743
00334,corn,mosaic,4,104,26.58,66.74,21.66,0.58,44.32,85817
00335,tomato,blight,2,201,14.61,99.19,49.62,0.23,23.33,85766
00336,corn,healthy,0,56,17.89,65.17,47.52,0.38,34.81,66994
00337,apple,rust,1,158,16.58,83.37,42.25,0.54,54.66,34386
00338,corn,healthy,0,220,10.13,43.47,34.76,0.54,57.8,42783
00339,tomato,blight,2,23,10.97,31.02,7.09,0.24,43.68,59195
00340,corn,rust,2,320,15.33,74.0,10.0,0.41,27.04,95646
00341,rice,mosaic,4,46,26.64,44.44,28.43,0.67,56.3,94537
00342,rice,healthy,0,234,18.13,44.57,41.02,0.27,7.54,88605
00343,rice,mildew,2,55,28.38,61.07,23.33,0.58,59.82,11570
00344,tomato,mosaic,2,334,34.25,49.06,0.21,0.34,41.81,24789
00345,rice,healthy,0,37,28.97,34.57,49.88,0.89,58.75,104823
00346,rice,healthy,0,94,25.66,68.38,27.37,0.26,10.81,87083
00347,tomato,mosaic,2,261,32.82,65.27,12.16,0.23,57.84,81294
00348,apple,mosaic,4,74,21.69,76.13,40.28,0.51,18.24,21729
00349,rice,healthy,0,262,19.49,48.74,2.28,0.57,8.23,47420
00350,corn,blight,1,76,28.4,32.32,37.85,0.77,10.4,33417
00351,apple,blight,3,213,13.47,50.19,0.27,0.63,10.42,34723
00352,corn,mosaic,3,271,16.45,50.35,30.5,0.89,49.39,77500
00353,corn,healthy,0,364,30.87,85.79,45.12,0.55,27.4,117775
00354,tomato,mosaic,2,306,12.35,53.69,47.67,0.6,53.95,91861
00355,tomato,rust,3,273,34.52,37.82,8.66,0.6,20.89,73269
00356,corn,mosaic,2,130,13.48,67.88,5.75,0.9,10.29,51208
00357,apple,rust,1,25,15.27,56.3,36.18,0.89,24.82,34901
00358,apple,healthy,0,137,20.3,35.98,17.62,0.46,43.3,10771
00359,tomato,blight,1,274,22.68,77.42,24.97,0.32,38.49,112820
00360,tomato,healthy,0,338,28.19,39.4,32.32,0.28,22.34,78285
00361,tomato,blight,1,144,27.57,45.18,43.85,0.69,58.96,59622
00362,tomato,healthy,0,241,19.19,60.23,29.21,0.29,22.28,71455
00363,apple,blight,4,70,27.15,85.24,8.2,0.53,26.95,70107
00364,tomato,mosaic,2,315,15.78,95.54,24.25,0.43,21.95,24039
00365,corn,healthy,0,322,24.26,42.04,35.85,0.22,57.67,89661
00366,rice,blight,3,241,17.86,38.48,42.03,0.8,20.87,22528
00367,rice,mildew,2,38,11.55,55.74,19.04,0.72,7.75,44021
00368,tomato,blight,3,208,16.43,65.02,35.98,0.45,58.37,108003
00369,rice,mildew,3,354,10.54,59.54,22.38,0.68,45.28,28428
00370,tomato,blight,4,328,14.45,58.18,26.62,0.64,52.15,116920
00371,rice,healthy,0,30,15.48,46.01,7.21,0.85,50.91,110383
00372,corn,blight,4,314,23.8,82.02,19.13,0.59,26.22,66350
00373,corn,healthy,0,123,18.73,58.96,10.04,0.74,31.18,69987
